invoice_date,order_id,title,segment,total_amount,order_qty,city,fulfillment_status
09-Apr-2023,AJO800000,Ethnic Kurti,Women,"₹2,707.58",2,Ahmedabad,Delivered
16-Aug-2023,AJO800001,Graphic Tee,Women,"1,970",1,Mumbai,Cancelled
05-Jan-2023,AJO800002,Graphic Tee,Women,"₹1,773.43",1,Pune,Processing
24-Apr-2023,AJO800003,Graphic Tee,Kids,"₹2,055.05",1,Surat,Processing
11-Jan-2023,AJO800004,Slim Fit Trousers,Kids,"1,404",2,Indore,Cancelled
24-May-2023,AJO800005,Slim Fit Trousers,Men,368,2,Surat,Delivered
15-Dec-2023,AJO800006,Graphic Tee,Women,"1,813",2,Mumbai,Cancelled
30-Dec-2023,AJO800007,Leather Jacket,Kids,Rs. 971,2,Indore,Delivered
03-Jul-2023,AJO800008,Ethnic Kurti,Kids,₹728.84,2,Surat,Cancelled
09-Apr-2023,AJO800009,Leather Jacket,Men,"(1,945)",2,Surat,Cancelled
16-Feb-2023,AJO800010,Leather Jacket,Women,"1,305",2,Bangalore,Cancelled
11-Nov-2023,AJO800011,Graphic Tee,Men,"2,219",1,Chennai,Cancelled
17-Nov-2023,AJO800012,Graphic Tee,Men,(948),1,Lucknow,Delivered
05-Jun-2023,AJO800013,Ethnic Kurti,Kids,"1,170",1,Ahmedabad,Delivered
24-Apr-2023,AJO800014,Leather Jacket,Kids,"₹2,305.21",1,Surat,Processing
30-Apr-2023,AJO800015,Leather Jacket,Men,"Rs. 1,696",2,Bangalore,Delivered
10-Sep-2023,AJO800016,Leather Jacket,Women,466,1,Chennai,Processing
05-Jul-2023,AJO800017,Leather Jacket,Men,"1,680",1,Hyderabad,Cancelled
19-Jan-2023,AJO800018,Slim Fit Trousers,Kids,"₹2,536.87",1,Lucknow,Cancelled
24-May-2023,AJO800019,Graphic Tee,Kids,"₹1,165.00",1,Lucknow,Processing
10-Sep-2023,AJO800020,Slim Fit Trousers,Kids,"Rs. 1,919",2,Surat,Delivered
27-Dec-2023,AJO800021,Graphic Tee,Women,905,2,Bangalore,Processing
28-Dec-2023,AJO800022,Slim Fit Trousers,Kids,"1,404",2,Mumbai,Delivered
07-Nov-2023,AJO800023,Ethnic Kurti,Women,"Rs. 2,263",1,Delhi,Processing
18-Apr-2023,AJO800024,Leather Jacket,Women,"Rs. 1,653",2,Delhi,Cancelled
04-Jan-2023,AJO800025,Graphic Tee,Men,"₹2,402.49",1,Surat,Cancelled
11-Apr-2023,AJO800026,Graphic Tee,Women,"₹1,797.71",2,Indore,Delivered
23-Nov-2023,AJO800027,Graphic Tee,Men,"Rs. 3,053",2,Kolkata,Delivered
22-Jul-2023,AJO800028,Slim Fit Trousers,Women,405,2,Kolkata,Delivered
26-Feb-2023,AJO800029,Leather Jacket,Kids,"₹1,347.96",2,Indore,Delivered
23-May-2023,AJO800030,Graphic Tee,Women,741,2,Lucknow,Cancelled
19-Oct-2023,AJO800031,Ethnic Kurti,Men,₹788.63,1,Delhi,Cancelled
14-Sep-2023,AJO800032,Ethnic Kurti,Women,795,2,Jaipur,Delivered
10-Sep-2023,AJO800033,Leather Jacket,Women,"Rs. 1,617",1,Hyderabad,Delivered
29-Mar-2023,AJO800034,Leather Jacket,Kids,"1,658",1,Kolkata,Processing
10-Oct-2023,AJO800035,Leather Jacket,Men,"Rs. 1,799",1,Bangalore,Cancelled
10-Apr-2023,AJO800036,Ethnic Kurti,Women,₹713.86,1,Kolkata,Delivered
04-Dec-2023,AJO800037,Leather Jacket,Men,"Rs. 1,273",1,Chennai,Delivered
17-Oct-2023,AJO800038,Graphic Tee,Kids,825,2,Indore,Processing
11-Dec-2023,AJO800039,Slim Fit Trousers,Men,"₹2,155.12",2,Chennai,Processing
16-Dec-2023,AJO800040,Ethnic Kurti,Women,891,2,Jaipur,Processing
05-Nov-2023,AJO800041,Slim Fit Trousers,Kids,"1,350",2,Jaipur,Delivered
17-Oct-2023,AJO800042,Ethnic Kurti,Men,"₹1,892.21",1,Surat,Cancelled
31-Mar-2023,AJO800043,Graphic Tee,Women,"₹1,069.06",2,Kolkata,Processing
03-Feb-2023,AJO800044,Slim Fit Trousers,Kids,"1,986",2,Lucknow,Cancelled
29-Oct-2023,AJO800045,Graphic Tee,Women,"Rs. 2,617",1,Chennai,Processing
07-Mar-2023,AJO800046,Graphic Tee,Women,"1,633",1,Indore,Cancelled
03-Feb-2023,AJO800047,Ethnic Kurti,Men,"Rs. 2,131",2,Kolkata,Delivered
07-Mar-2023,AJO800048,Graphic Tee,Women,Rs. 299,2,Indore,Cancelled
13-May-2023,AJO800049,Graphic Tee,Women,"₹1,199.66",1,Delhi,Delivered
