sub_order_no,order_date,product_name,category,discounted_price,quantity,customer_state,reason_for_credit_entry
MSH300000,30-03-2023,Kids Frock,Jewellery,145,4,Uttar Pradesh,RTO Complete
MSH300001,21-09-2023,Men T-Shirt,Kids Wear,427,2,Maharashtra,Delivered
MSH300002,03-03-2023,Kids Frock,Saree,125,3,Maharashtra,Cancelled
MSH300003,13-07-2023,Printed Saree,Men Wear,Rs. 875,2,Maharashtra,RTO Complete
MSH300004,21-01-2023,Kids Frock,Jewellery,Rs. 735,1,Maharashtra,Cancelled
MSH300005,08-08-2023,Printed Saree,Men Wear,Rs. 300,3,Karnataka,Delivered
MSH300006,23-05-2023,Artificial Jewellery Set,Kids Wear,₹99.00,1,Rajasthan,Cancelled
MSH300007,12-10-2023,Printed Saree,Saree,268,1,Delhi,Delivered
MSH300008,16-05-2023,Men T-Shirt,Saree,Rs. 373,4,Karnataka,Cancelled
MSH300009,08-03-2023,Printed Saree,Saree,136,2,Gujarat,RTO Complete
MSH300010,24-03-2023,Men T-Shirt,Saree,Rs. 390,3,Telangana,RTO Complete
MSH300011,27-10-2023,Printed Saree,Jewellery,Rs. 372,1,Maharashtra,Delivered
MSH300012,11-05-2023,Kids Frock,Kids Wear,Rs. 419,1,Rajasthan,RTO Complete
MSH300013,03-01-2023,Artificial Jewellery Set,Men Wear,434,3,Maharashtra,Cancelled
MSH300014,19-06-2023,Men T-Shirt,Jewellery,Rs. 255,1,Gujarat,Cancelled
MSH300015,27-08-2023,Men T-Shirt,Men Wear,272,4,Telangana,Cancelled
MSH300016,30-12-2023,Kids Frock,Saree,407,4,Maharashtra,Delivered
MSH300017,21-03-2023,Kids Frock,Kids Wear,305,4,West Bengal,Cancelled
MSH300018,21-01-2023,Printed Saree,Jewellery,₹536.12,4,Maharashtra,Cancelled
MSH300019,20-03-2023,Men T-Shirt,Men Wear,405,1,Karnataka,RTO Complete
MSH300020,15-06-2023,Printed Saree,Men Wear,Rs. 680,3,Tamil Nadu,Delivered
MSH300021,02-11-2023,Kids Frock,Jewellery,₹523.07,3,Maharashtra,Cancelled
MSH300022,27-01-2023,Men T-Shirt,Men Wear,Rs. 566,3,Gujarat,Cancelled
MSH300023,17-11-2023,Artificial Jewellery Set,Men Wear,420,3,Gujarat,RTO Complete
MSH300024,12-11-2023,Artificial Jewellery Set,Jewellery,424,2,Rajasthan,Delivered
MSH300025,05-12-2023,Men T-Shirt,Kids Wear,₹659.70,3,Tamil Nadu,Delivered
MSH300026,04-06-2023,Men T-Shirt,Jewellery,343,2,Rajasthan,RTO Complete
MSH300027,09-09-2023,Kids Frock,Jewellery,482,2,Gujarat,RTO Complete
MSH300028,21-10-2023,Men T-Shirt,Kids Wear,360,4,Telangana,RTO Complete
MSH300029,09-10-2023,Men T-Shirt,Men Wear,360,2,Uttar Pradesh,RTO Complete
MSH300030,03-07-2023,Artificial Jewellery Set,Jewellery,225,1,Karnataka,Delivered
MSH300031,07-02-2023,Kids Frock,Men Wear,289,2,Rajasthan,Delivered
MSH300032,29-12-2023,Printed Saree,Men Wear,₹260.76,4,Maharashtra,Cancelled
MSH300033,12-06-2023,Men T-Shirt,Men Wear,489,2,Maharashtra,Cancelled
MSH300034,27-09-2023,Kids Frock,Jewellery,Rs. 556,1,Gujarat,Cancelled
MSH300035,23-04-2023,Kids Frock,Kids Wear,Rs. 386,1,Tamil Nadu,Delivered
MSH300036,05-04-2023,Artificial Jewellery Set,Saree,434,1,Uttar Pradesh,Cancelled
MSH300037,24-09-2023,Men T-Shirt,Kids Wear,377,4,Rajasthan,Cancelled
MSH300038,04-02-2023,Men T-Shirt,Jewellery,278,4,Karnataka,RTO Complete
MSH300039,16-09-2023,Kids Frock,Kids Wear,529,3,Delhi,Delivered
MSH300040,23-03-2023,Men T-Shirt,Saree,498,4,Rajasthan,RTO Complete
MSH300041,01-08-2023,Artificial Jewellery Set,Kids Wear,116,1,Karnataka,Cancelled
MSH300042,06-10-2023,Artificial Jewellery Set,Jewellery,358,1,Gujarat,Delivered
MSH300043,02-10-2023,Artificial Jewellery Set,Men Wear,Rs. 268,4,Tamil Nadu,RTO Complete
MSH300044,26-07-2023,Men T-Shirt,Saree,Rs. 341,2,Tamil Nadu,Cancelled
MSH300045,17-02-2023,Men T-Shirt,Kids Wear,299,4,Rajasthan,Cancelled
MSH300046,28-06-2023,Artificial Jewellery Set,Jewellery,393,4,Maharashtra,Delivered
MSH300047,24-04-2023,Printed Saree,Saree,351,1,Gujarat,RTO Complete
MSH300048,20-04-2023,Kids Frock,Saree,₹347.33,3,Maharashtra,Cancelled
MSH300049,06-12-2023,Printed Saree,Kids Wear,₹566.11,1,Rajasthan,Cancelled
MSH300050,19-06-2023,Men T-Shirt,Jewellery,Rs. 484,3,West Bengal,Delivered
MSH300051,19-06-2023,Kids Frock,Jewellery,294,1,Karnataka,Delivered
MSH300052,04-07-2023,Kids Frock,Saree,Rs. 317,4,Maharashtra,Delivered
MSH300053,31-05-2023,Men T-Shirt,Saree,474,1,Uttar Pradesh,Cancelled
MSH300054,22-04-2023,Printed Saree,Men Wear,474,1,Maharashtra,Cancelled
MSH300055,13-11-2023,Printed Saree,Kids Wear,309,1,Uttar Pradesh,RTO Complete
MSH300056,29-09-2023,Printed Saree,Men Wear,365,4,Telangana,RTO Complete
MSH300057,01-09-2023,Printed Saree,Saree,677,4,Maharashtra,Cancelled
MSH300058,15-10-2023,Artificial Jewellery Set,Saree,312,4,Delhi,Cancelled
MSH300059,29-11-2023,Kids Frock,Jewellery,687,4,Rajasthan,Cancelled
MSH300060,05-01-2023,Printed Saree,Jewellery,566,3,West Bengal,Delivered
MSH300061,28-02-2023,Men T-Shirt,Men Wear,Rs. 659,3,Telangana,Delivered
MSH300062,09-12-2023,Artificial Jewellery Set,Saree,₹305.64,2,Rajasthan,RTO Complete
MSH300063,27-06-2023,Kids Frock,Kids Wear,Rs. 375,4,Gujarat,RTO Complete
MSH300064,17-08-2023,Men T-Shirt,Jewellery,Rs. 333,3,Rajasthan,RTO Complete
MSH300065,04-05-2023,Artificial Jewellery Set,Jewellery,569,1,Karnataka,Delivered
MSH300066,25-11-2023,Kids Frock,Saree,₹314.85,4,Uttar Pradesh,Delivered
MSH300067,11-11-2023,Men T-Shirt,Kids Wear,Rs. 510,2,Tamil Nadu,RTO Complete
MSH300068,15-11-2023,Kids Frock,Men Wear,Rs. 502,2,Maharashtra,Delivered
MSH300069,05-05-2023,Artificial Jewellery Set,Kids Wear,393,2,West Bengal,RTO Complete
MSH300070,21-01-2023,Printed Saree,Saree,₹594.80,1,Maharashtra,Cancelled
MSH300071,16-12-2023,Artificial Jewellery Set,Kids Wear,416,3,Delhi,Cancelled
