order_created_at,Order No,Product Name,Category,Item_Total,Qty,Ship City,order_status
24/11/2023,MYN1000,Formal Blazer,Ethnic Wear,"Rs. 1,448",2,Kolkata,Cancelled
27/02/2023,MYN1001,Denim Jeans,Men Fashion,"1,131",2,Jaipur,Returned
13/01/2023,MYN1002,Running Shoes,Men Fashion,"1,524",1,Mumbai,Cancelled
21/05/2023,MYN1003,Formal Blazer,Men Fashion,"1,962",1,Surat,Returned
06/05/2023,MYN1004,Formal Blazer,Women Fashion,"1,083",1,Jaipur,Cancelled
25/04/2023,MYN1005,Casual Kurta,Men Fashion,"1,083",3,Ahmedabad,Shipped
13/03/2023,MYN1006,Denim Jeans,Footwear,"1,990",2,Kolkata,Returned
22/02/2023,MYN1007,Formal Blazer,Women Fashion,"₹1,583.72",3,Mumbai,Returned
13/12/2023,MYN1008,Denim Jeans,Ethnic Wear,(965),1,Hyderabad,Delivered
07/10/2023,MYN1009,Running Shoes,Women Fashion,"₹1,471.28",2,Jaipur,Shipped
14/02/2023,MYN1010,Casual Kurta,Men Fashion,968,3,Pune,Returned
30/10/2023,MYN1011,Running Shoes,Footwear,Rs. 967,2,Lucknow,Cancelled
05/08/2023,MYN1012,Casual Kurta,Footwear,"₹1,320.98",3,Ahmedabad,Cancelled
17/01/2023,MYN1013,Formal Blazer,Men Fashion,₹243.36,2,Surat,Cancelled
16/01/2023,MYN1014,Casual Kurta,Footwear,₹337.54,1,Ahmedabad,Delivered
17/02/2023,MYN1015,Cotton Shirt,Women Fashion,Rs. 919,1,Mumbai,Returned
22/04/2023,MYN1016,Denim Jeans,Women Fashion,Rs. 694,2,Hyderabad,Cancelled
30/04/2023,MYN1017,Denim Jeans,Men Fashion,"₹1,357.12",3,Chennai,Delivered
16/09/2023,MYN1018,Cotton Shirt,Footwear,Rs. 746,1,Jaipur,Delivered
05/11/2023,MYN1019,Running Shoes,Ethnic Wear,Rs. 494,1,Bangalore,Returned
14/01/2023,MYN1020,Cotton Shirt,Women Fashion,"Rs. 1,933",1,Chennai,Cancelled
