purchase_date,order_number,sku_name,department,sale_price,unit_sold,ship_state
2023/05/01,NYK700000,Eyeliner,Skincare,635,2,Gujarat
2023/08/05,NYK700001,Face Serum,Skincare,559,1,Tamil Nadu
2023/04/22,NYK700002,Eyeliner,Makeup,766,1,Delhi
2023/03/15,NYK700003,Eyeliner,Makeup,Rs. 441,2,Karnataka
2023/02/24,NYK700004,Perfume 50ml,Fragrance,Rs. 903,1,Maharashtra
2023/03/31,NYK700005,Sunscreen SPF50,Skincare,799,2,Uttar Pradesh
2023/04/20,NYK700006,Matte Lipstick,Makeup,₹661.66,1,Tamil Nadu
2023/05/21,NYK700007,Matte Lipstick,Fragrance,696,1,Rajasthan
2023/08/14,NYK700008,Perfume 50ml,Skincare,"Rs. 1,263",1,Delhi
2023/07/29,NYK700009,Matte Lipstick,Skincare,Rs. 933,1,Rajasthan
2023/05/11,NYK700010,Matte Lipstick,Fragrance,"1,310",2,Delhi
2023/10/29,NYK700011,Sunscreen SPF50,Makeup,810,1,Telangana
2023/01/29,NYK700012,Face Serum,Fragrance,208,2,Uttar Pradesh
2023/09/09,NYK700013,Eyeliner,Makeup,Rs. 571,1,Rajasthan
2023/10/01,NYK700014,Sunscreen SPF50,Makeup,₹139.94,1,Uttar Pradesh
2023/07/11,NYK700015,Perfume 50ml,Fragrance,₹808.49,1,Maharashtra
2023/12/25,NYK700016,Perfume 50ml,Makeup,874,1,Uttar Pradesh
2023/02/27,NYK700017,Matte Lipstick,Fragrance,384,2,Rajasthan
2023/06/12,NYK700018,Matte Lipstick,Skincare,453,2,Telangana
2023/10/07,NYK700019,Sunscreen SPF50,Skincare,Rs. 695,2,Gujarat
2023/08/05,NYK700020,Perfume 50ml,Makeup,Rs. 291,2,Rajasthan
2023/09/01,NYK700021,Perfume 50ml,Skincare,₹268.05,1,Maharashtra
2023/12/16,NYK700022,Eyeliner,Fragrance,"₹1,021.59",2,Delhi
2023/05/07,NYK700023,Sunscreen SPF50,Fragrance,684,2,Rajasthan
2023/05/23,NYK700024,Eyeliner,Fragrance,483,1,Karnataka
2023/03/16,NYK700025,Sunscreen SPF50,Skincare,Rs. 142,1,Maharashtra
2023/07/05,NYK700026,Face Serum,Skincare,₹905.71,1,Tamil Nadu
2023/09/01,NYK700027,Perfume 50ml,Skincare,Rs. 445,1,Telangana
2023/07/08,NYK700028,Matte Lipstick,Fragrance,"1,208",2,Telangana
2023/06/07,NYK700029,Perfume 50ml,Makeup,908,2,Uttar Pradesh
2023/01/11,NYK700030,Face Serum,Fragrance,408,1,Gujarat
2023/11/27,NYK700031,Sunscreen SPF50,Makeup,₹435.36,1,Delhi
2023/11/07,NYK700032,Face Serum,Makeup,"1,167",1,Rajasthan
2023/01/18,NYK700033,Perfume 50ml,Fragrance,Rs. 625,2,Uttar Pradesh
2023/12/06,NYK700034,Eyeliner,Fragrance,₹496.01,2,Maharashtra
2023/01/28,NYK700035,Sunscreen SPF50,Skincare,₹658.32,1,West Bengal
2023/12/20,NYK700036,Eyeliner,Makeup,495,1,Uttar Pradesh
2023/12/10,NYK700037,Face Serum,Makeup,₹722.31,2,Maharashtra
2023/05/03,NYK700038,Matte Lipstick,Skincare,₹627.25,1,Gujarat
2023/05/10,NYK700039,Sunscreen SPF50,Makeup,₹912.65,1,Maharashtra
2023/10/10,NYK700040,Perfume 50ml,Makeup,₹533.43,2,Maharashtra
2023/07/16,NYK700041,Eyeliner,Skincare,₹384.56,1,West Bengal
2023/06/08,NYK700042,Face Serum,Fragrance,Rs. 545,2,Karnataka
2023/11/24,NYK700043,Sunscreen SPF50,Skincare,₹543.47,1,West Bengal
2023/12/25,NYK700044,Matte Lipstick,Skincare,Rs. 627,1,Maharashtra
2023/07/05,NYK700045,Sunscreen SPF50,Fragrance,840,2,Rajasthan
2023/12/17,NYK700046,Matte Lipstick,Fragrance,Rs. 824,2,Maharashtra
2023/03/04,NYK700047,Face Serum,Skincare,"1,010",1,West Bengal
2023/10/01,NYK700048,Eyeliner,Fragrance,407,2,Tamil Nadu
