Invoice Date,Transaction Id,Item Name,Type,MRP,Order Qty,Courier Status
01/12/2023,SD600000,Sunglasses,Bags,"₹1,049.00",2,Undelivered
24/11/2023,SD600001,Wireless Mouse,Bags,"Rs. 1,540",2,Delivered
01/01/2023,SD600002,Wall Clock,Home Decor,"1,350",2,Undelivered
20/01/2023,SD600003,Backpack,Accessories,580,2,Delivered
07/12/2023,SD600004,Backpack,Computer Peripherals,"1,018",2,Delivered
19/07/2023,SD600005,Wall Clock,Bags,213,1,RTO
17/05/2023,SD600006,Wall Clock,Computer Peripherals,684,2,Undelivered
19/03/2023,SD600007,Sunglasses,Accessories,"₹1,025.62",1,Delivered
25/12/2023,SD600008,Backpack,Computer Peripherals,659,1,Undelivered
18/06/2023,SD600009,Wireless Mouse,Computer Peripherals,"Rs. 1,009",1,RTO
20/07/2023,SD600010,Backpack,Home Decor,₹894.65,1,Undelivered
22/10/2023,SD600011,Sunglasses,Accessories,"Rs. 1,115",2,RTO
02/01/2023,SD600012,Wall Clock,Bags,730,1,RTO
21/09/2023,SD600013,Backpack,Home Decor,524,2,Undelivered
29/12/2023,SD600014,Wall Clock,Home Decor,"1,491",2,Undelivered
09/09/2023,SD600015,Backpack,Bags,Rs. 702,1,Delivered
02/09/2023,SD600016,Wireless Mouse,Accessories,"₹1,164.00",2,RTO
12/08/2023,SD600017,Wireless Mouse,Computer Peripherals,"Rs. 1,474",1,Undelivered
26/07/2023,SD600018,Backpack,Accessories,Rs. 965,1,RTO
05/02/2023,SD600019,Backpack,Accessories,Rs. 557,2,Delivered
04/10/2023,SD600020,Wall Clock,Computer Peripherals,Rs. 829,2,Undelivered
26/04/2023,SD600021,Wall Clock,Computer Peripherals,"₹1,307.02",1,Undelivered
02/01/2023,SD600022,Sunglasses,Computer Peripherals,982,2,RTO
16/07/2023,SD600023,Sunglasses,Accessories,₹417.94,2,Undelivered
19/12/2023,SD600024,Backpack,Bags,"₹1,138.66",2,Undelivered
04/09/2023,SD600025,Wireless Mouse,Accessories,"Rs. 1,208",1,RTO
04/03/2023,SD600026,Sunglasses,Bags,₹757.88,1,Delivered
18/10/2023,SD600027,Sunglasses,Accessories,"1,144",2,Undelivered
02/10/2023,SD600028,Wireless Mouse,Bags,998,2,Delivered
03/07/2023,SD600029,Wall Clock,Computer Peripherals,Rs. 821,2,RTO
20/06/2023,SD600030,Wall Clock,Accessories,383,2,RTO
16/12/2023,SD600031,Wall Clock,Accessories,"1,331",2,Delivered
05/06/2023,SD600032,Backpack,Home Decor,"Rs. 1,204",1,Undelivered
25/07/2023,SD600033,Backpack,Bags,"1,134",2,Undelivered
29/01/2023,SD600034,Wall Clock,Accessories,"₹1,517.81",1,RTO
20/11/2023,SD600035,Wireless Mouse,Accessories,"₹1,278.08",2,RTO
28/11/2023,SD600036,Wall Clock,Computer Peripherals,"Rs. 1,175",1,Undelivered
16/02/2023,SD600037,Wall Clock,Bags,Rs. 149,2,Delivered
07/07/2023,SD600038,Backpack,Bags,"Rs. 1,379",1,RTO
01/10/2023,SD600039,Wireless Mouse,Accessories,Rs. 933,2,Undelivered
24/06/2023,SD600040,Sunglasses,Bags,"1,025",1,Undelivered
11/02/2023,SD600041,Wireless Mouse,Bags,"Rs. 1,028",1,Undelivered
24/08/2023,SD600042,Backpack,Bags,"Rs. 1,210",1,Delivered
29/05/2023,SD600043,Sunglasses,Bags,"Rs. 1,349",1,Undelivered
28/11/2023,SD600044,Backpack,Bags,"₹1,153.70",1,RTO
14/04/2023,SD600045,Wall Clock,Home Decor,"1,090",1,Delivered
01/04/2023,SD600046,Sunglasses,Home Decor,₹992.61,2,RTO
