transaction_date,invoice_no,item_desc,final_price,no_of_items,region
2023-09-06T00:00:00Z,SHP500000,Phone Case,445,3,Lucknow
2023-11-02T00:00:00Z,SHP500001,Home Decor Item,303,3,Chennai
2023-09-30T00:00:00Z,SHP500002,Home Decor Item,Rs. 174,1,Chennai
2023-02-15T00:00:00Z,SHP500003,Stationery Set,₹242.10,3,Chennai
2023-04-06T00:00:00Z,SHP500004,Stationery Set,Rs. 189,3,Mumbai
2023-04-12T00:00:00Z,SHP500005,Kitchen Gadget,Rs. 490,1,Indore
2023-09-14T00:00:00Z,SHP500006,Stationery Set,₹510.57,3,Delhi
2023-08-23T00:00:00Z,SHP500007,Phone Case,540,1,Lucknow
2023-10-15T00:00:00Z,SHP500008,Home Decor Item,₹107.65,1,Bangalore
2023-12-31T00:00:00Z,SHP500009,Stationery Set,₹478.57,2,Lucknow
2023-01-12T00:00:00Z,SHP500010,Home Decor Item,615,2,Indore
2023-01-21T00:00:00Z,SHP500011,Stationery Set,₹483.44,3,Bangalore
2023-05-07T00:00:00Z,SHP500012,Phone Case,₹91.85,3,Surat
2023-09-29T00:00:00Z,SHP500013,Kitchen Gadget,562,1,Ahmedabad
2023-06-06T00:00:00Z,SHP500014,Kitchen Gadget,355,3,Pune
2023-06-20T00:00:00Z,SHP500015,Home Decor Item,₹322.11,1,Bangalore
2023-09-08T00:00:00Z,SHP500016,Phone Case,404,1,Chennai
2023-07-21T00:00:00Z,SHP500017,Phone Case,₹224.12,3,Indore
2023-03-22T00:00:00Z,SHP500018,Phone Case,350,1,Hyderabad
2023-01-10T00:00:00Z,SHP500019,Stationery Set,Rs. 544,2,Ahmedabad
2023-06-27T00:00:00Z,SHP500020,Kitchen Gadget,425,3,Bangalore
2023-12-17T00:00:00Z,SHP500021,Phone Case,Rs. 357,2,Jaipur
2023-06-30T00:00:00Z,SHP500022,Stationery Set,Rs. 361,3,Mumbai
2023-07-01T00:00:00Z,SHP500023,Home Decor Item,208,1,Pune
2023-11-17T00:00:00Z,SHP500024,Stationery Set,332,3,Delhi
2023-06-04T00:00:00Z,SHP500025,Stationery Set,154,2,Bangalore
2023-05-01T00:00:00Z,SHP500026,Phone Case,473,1,Lucknow
2023-09-14T00:00:00Z,SHP500027,Home Decor Item,88,3,Bangalore
2023-05-22T00:00:00Z,SHP500028,Kitchen Gadget,Rs. 453,3,Ahmedabad
2023-02-01T00:00:00Z,SHP500029,Home Decor Item,Rs. 468,3,Kolkata
2023-11-17T00:00:00Z,SHP500030,Home Decor Item,508,2,Kolkata
2023-05-12T00:00:00Z,SHP500031,Home Decor Item,₹360.42,2,Hyderabad
2023-07-18T00:00:00Z,SHP500032,Home Decor Item,₹460.00,3,Surat
2023-01-16T00:00:00Z,SHP500033,Phone Case,₹330.83,1,Ahmedabad
2023-10-12T00:00:00Z,SHP500034,Stationery Set,Rs. 208,1,Indore
2023-05-24T00:00:00Z,SHP500035,Kitchen Gadget,534,2,Surat
2023-04-26T00:00:00Z,SHP500036,Kitchen Gadget,338,1,Bangalore
2023-03-19T00:00:00Z,SHP500037,Stationery Set,181,2,Hyderabad
2023-06-24T00:00:00Z,SHP500038,Kitchen Gadget,Rs. 294,3,Lucknow
2023-07-21T00:00:00Z,SHP500039,Home Decor Item,299,2,Indore
2023-12-03T00:00:00Z,SHP500040,Phone Case,Rs. 405,2,Pune
2023-03-12T00:00:00Z,SHP500041,Home Decor Item,Rs. 632,3,Mumbai
2023-02-14T00:00:00Z,SHP500042,Home Decor Item,₹412.69,1,Surat
2023-07-15T00:00:00Z,SHP500043,Phone Case,375,2,Chennai
2023-09-24T00:00:00Z,SHP500044,Kitchen Gadget,645,2,Delhi
2023-12-14T00:00:00Z,SHP500045,Phone Case,467,3,Mumbai
2023-11-10T00:00:00Z,SHP500046,Stationery Set,₹380.51,1,Bangalore
2023-11-17T00:00:00Z,SHP500047,Stationery Set,292,2,Ahmedabad
2023-12-18T00:00:00Z,SHP500048,Stationery Set,₹387.94,3,Kolkata
2023-04-27T00:00:00Z,SHP500049,Phone Case,₹342.03,2,Ahmedabad
2023-08-02T00:00:00Z,SHP500050,Stationery Set,361,3,Chennai
2023-05-04T00:00:00Z,SHP500051,Home Decor Item,508,1,Ahmedabad
2023-10-21T00:00:00Z,SHP500052,Home Decor Item,285,1,Indore
2023-03-20T00:00:00Z,SHP500053,Stationery Set,412,1,Jaipur
2023-08-07T00:00:00Z,SHP500054,Stationery Set,464,1,Hyderabad
2023-06-09T00:00:00Z,SHP500055,Stationery Set,Rs. 271,2,Kolkata
2023-11-06T00:00:00Z,SHP500056,Stationery Set,₹251.29,2,Surat
2023-06-18T00:00:00Z,SHP500057,Phone Case,332,1,Indore
2023-08-18T00:00:00Z,SHP500058,Phone Case,₹294.60,1,Kolkata
2023-10-05T00:00:00Z,SHP500059,Home Decor Item,488,1,Ahmedabad
2023-03-09T00:00:00Z,SHP500060,Kitchen Gadget,230,2,Chennai
2023-04-16T00:00:00Z,SHP500061,Home Decor Item,358,1,Bangalore
2023-12-01T00:00:00Z,SHP500062,Phone Case,Rs. 656,1,Jaipur
2023-03-12T00:00:00Z,SHP500063,Home Decor Item,Rs. 400,1,Kolkata
2023-10-25T00:00:00Z,SHP500064,Home Decor Item,420,3,Mumbai
2023-10-05T00:00:00Z,SHP500065,Phone Case,489,1,Chennai
2023-12-17T00:00:00Z,SHP500066,Kitchen Gadget,294,3,Ahmedabad
2023-04-14T00:00:00Z,SHP500067,Phone Case,220,3,Kolkata
2023-03-12T00:00:00Z,SHP500068,Home Decor Item,371,1,Surat
2023-06-08T00:00:00Z,SHP500069,Phone Case,382,3,Pune
2023-12-19T00:00:00Z,SHP500070,Kitchen Gadget,₹155.81,1,Jaipur
2023-12-28T00:00:00Z,SHP500071,Kitchen Gadget,395,2,Surat
2023-09-26T00:00:00Z,SHP500072,Phone Case,478,2,Mumbai
2023-03-11T00:00:00Z,SHP500073,Phone Case,Rs. 240,2,Delhi
2023-08-09T00:00:00Z,SHP500074,Phone Case,402,2,Jaipur
2023-03-16T00:00:00Z,SHP500075,Stationery Set,457,3,Surat
2023-12-02T00:00:00Z,SHP500076,Home Decor Item,Rs. 420,1,Pune
2023-10-17T00:00:00Z,SHP500077,Home Decor Item,₹431.72,1,Kolkata
2023-03-22T00:00:00Z,SHP500078,Kitchen Gadget,321,1,Lucknow
2023-06-12T00:00:00Z,SHP500079,Home Decor Item,₹214.70,2,Surat
2023-02-04T00:00:00Z,SHP500080,Stationery Set,296,2,Chennai
2023-10-13T00:00:00Z,SHP500081,Kitchen Gadget,₹279.67,1,Pune
2023-09-30T00:00:00Z,SHP500082,Phone Case,340,2,Chennai
2023-03-02T00:00:00Z,SHP500083,Phone Case,481,1,Chennai
2023-04-05T00:00:00Z,SHP500084,Kitchen Gadget,193,1,Delhi
2023-06-12T00:00:00Z,SHP500085,Kitchen Gadget,Rs. 367,1,Chennai
2023-03-16T00:00:00Z,SHP500086,Kitchen Gadget,Rs. 222,1,Surat
2023-01-16T00:00:00Z,SHP500087,Stationery Set,261,1,Lucknow
2023-06-13T00:00:00Z,SHP500088,Phone Case,417,1,Kolkata
2023-07-31T00:00:00Z,SHP500089,Stationery Set,Rs. 207,1,Ahmedabad
2023-07-30T00:00:00Z,SHP500090,Phone Case,438,2,Surat
2023-06-05T00:00:00Z,SHP500091,Kitchen Gadget,188,1,Indore
2023-08-15T00:00:00Z,SHP500092,Stationery Set,430,1,Hyderabad
2023-11-23T00:00:00Z,SHP500093,Home Decor Item,Rs. 164,2,Indore
2023-05-21T00:00:00Z,SHP500094,Phone Case,Rs. 276,2,Surat
2023-03-19T00:00:00Z,SHP500095,Kitchen Gadget,₹577.58,2,Lucknow
2023-04-07T00:00:00Z,SHP500096,Kitchen Gadget,555,1,Hyderabad
2023-02-24T00:00:00Z,SHP500097,Stationery Set,300,3,Jaipur
2023-03-09T00:00:00Z,SHP500098,Home Decor Item,₹396.80,3,Pune
2023-04-05T00:00:00Z,SHP500099,Home Decor Item,494,2,Surat
2023-01-14T00:00:00Z,SHP500100,Phone Case,432,3,Indore
2023-11-10T00:00:00Z,SHP500101,Phone Case,₹317.18,2,Bangalore
2023-11-12T00:00:00Z,SHP500102,Phone Case,260,1,Pune
